,x,y
grenoble_m3-279,-8.63288670853977,11.3109770190882
grenoble_m3-280,11.9092606157216,13.9653995105098
grenoble_m3-282,4.01436829233822,13.8387370042748
grenoble_m3-283,-15.5111733005929,19.1288583007347
grenoble_m3-284,-5.87723313293716,18.8982201405691
grenoble_m3-285,17.1366129867752,-183.480067730629
grenoble_m3-286,-1.51308056807045,-34.2276368667525
grenoble_m3-288,-19.0542805192646,-0.060953897185232
grenoble_m3-289,-4.43592096477336,17.3631712094729
grenoble_m3-290,-71.3569371606649,-62.8431084682724
grenoble_m3-293,-8.91777666562166,16.2872076945622
grenoble_m3-297,-9.16761274480702,18.5546141671624
grenoble_m3-298,-4.88301108640966,25.5101465061345
grenoble_m3-299,-12.5797507291073,18.9328661176688
grenoble_m3-303,-9.85585290534911,10.6043127183623
grenoble_m3-307,-6.57515811377873,19.4801630842921
grenoble_m3-309,-5.04075143645119,26.9603243394158
grenoble_m3-310,-11.1854935483961,17.5617663459974
grenoble_m3-311,-5.46536439384357,14.2128033701922
grenoble_m3-312,-5.46653066572003,18.647446118338
grenoble_m3-313,-8.73652237105125,20.280640915487
grenoble_m3-314,-9.96704218647202,12.8404100890423
grenoble_m3-317,-13.6533712983961,12.2853828297311
grenoble_m3-318,-6.83087651822787,13.8088506743665
grenoble_m3-321,-4.04001246752755,18.9078261765423
grenoble_m3-322,0.736365138090911,26.319267187036
grenoble_m3-324,-5.46208764384194,12.7072159013849
grenoble_m3-325,-5.92013721485731,16.2993431645589
