,x,y
m3-303,33.0885220466694,-345.089455652694
m3-307,-93.0995883100812,-266.741052482212
m3-309,125.885370722782,-184.737240718714
m3-310,76.7827471780181,-232.665828349904
m3-311,63.4628465577735,-177.285111911191
m3-312,-137.000388808404,-245.875317047798
m3-313,-157.430420183834,-170.226158603799
m3-314,-59.6942892932008,-73.4247583945918
m3-317,19.1336602509526,-40.3262061241502
m3-318,-151.213531040347,-107.400685232515
m3-321,-105.632187358595,-51.6805336500375
m3-322,-75.026955033339,-153.461791556762
m3-324,-78.0553588045068,-202.161710906152
m3-325,-157.273724898771,-272.900144717193
