,m3-97,m3-103,m3-105,m3-108,m3-109,m3-110,m3-111,m3-112,m3-113,m3-114,m3-115,m3-116,m3-117,m3-118,m3-119,m3-120,m3-121,m3-122,m3-123,m3-124,m3-125,m3-127,m3-129,m3-130,m3-131,m3-137
m3-115,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578
m3-116,69.09847886756535,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,69.09847886756535,73.18707938324333,66.58807530386751,69.09847886756535
m3-117,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578
m3-118,66.58807530386751,70.32708710668275,65.15876877909578,69.09847886756535,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,67.89976132940085,66.58807530386751,70.32708710668275
m3-119,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578
m3-120,75.20192175168627,65.15876877909578,66.58807530386751,67.89976132940085,66.58807530386751,66.58807530386751,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,75.95085268319768
m3-121,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578
m3-122,71.25730792455762,75.95085268319768,65.15876877909578,66.58807530386751,66.58807530386751,67.89976132940085,69.09847886756535,66.58807530386751,73.18707938324333,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578
m3-123,65.15876877909578,66.58807530386751,65.15876877909578,67.89976132940085,65.15876877909578,66.58807530386751,65.15876877909578,66.58807530386751,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578
m3-124,69.09847886756535,67.89976132940085,67.89976132940085,73.18707938324333,65.15876877909578,70.32708710668275,66.58807530386751,69.09847886756535,70.32708710668275,67.89976132940085,66.58807530386751,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,70.32708710668275
m3-125,66.58807530386751,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578
m3-127,67.89976132940085,66.58807530386751,65.15876877909578,69.09847886756535,65.15876877909578,67.89976132940085,65.15876877909578,67.89976132940085,66.58807530386751,65.15876877909578,65.15876877909578,67.89976132940085,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578
m3-129,67.89976132940085,67.89976132940085,69.09847886756535,67.89976132940085,65.15876877909578,67.89976132940085,65.15876877909578,70.32708710668275,65.15876877909578,65.15876877909578,65.15876877909578,70.32708710668275,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578
m3-130,77.93232652531799,75.95085268319768,69.09847886756535,71.25730792455762,65.15876877909578,70.32708710668275,80.49239090066779,76.99283678550484,69.09847886756535,80.49239090066779,65.15876877909578,73.18707938324333,65.15876877909578,69.09847886756535,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578
m3-131,71.25730792455762,67.89976132940085,69.09847886756535,75.95085268319768,65.15876877909578,67.89976132940085,65.15876877909578,73.18707938324333,73.18707938324333,66.58807530386751,65.15876877909578,66.58807530386751,65.15876877909578,67.89976132940085,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578
m3-137,80.49239090066779,66.58807530386751,69.09847886756535,80.49239090066779,65.15876877909578,73.18707938324333,66.58807530386751,80.49239090066779,65.15876877909578,66.58807530386751,65.15876877909578,67.89976132940085,66.58807530386751,73.18707938324333,65.15876877909578,77.93232652531799,65.15876877909578,65.15876877909578,65.15876877909578,71.25730792455762,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0
