node,Green LED,Yellow LED,Red LED,Idle,TRX_OFF,PLL_ON,RX_ON,TX TX_PWR 0,TX TX_PWR 1,TX TX_PWR 2,TX TX_PWR 3,TX TX_PWR 4,TX TX_PWR 5,TX TX_PWR 6,TX TX_PWR 7,TX TX_PWR 8,TX TX_PWR 9,TX TX_PWR 10,TX TX_PWR 11,TX TX_PWR 12,TX TX_PWR 13,TX TX_PWR 14,TX TX_PWR 15
13,127.94381634485855,128.15785893980234,128.31392273135668,120.58131275258195,123.12317934904603,140.58896835016836,162.14092746463058,164.6193957771788,163.7266869526162,162.45200628507294,161.47876273849607,160.34870415263748,159.16598630444545,158.0758625336927,156.60775920934412,155.33902323232323,154.18081346801347,152.9135622895623,151.84084747474748,150.4273440026954,148.8335966981132,147.54630919501517,146.3480249158249
14,134.38106465155334,134.45708881799865,134.83982622565483,126.34375402955003,128.99954525608732,146.80647347212894,168.31342965077235,174.02225335795836,173.09954038623007,171.78136098052383,170.65703962390867,169.5333085963734,168.09135667506297,166.77459647355164,165.38436215580927,163.88227244235503,162.4590082829639,161.02162494402154,159.4155231699127,158.31417797179313,156.43455316767404,154.98063054187188,153.22336475593372
15,133.74261828672883,133.6832641509434,134.3722066592675,125.75791500221925,128.2047845095428,145.64770588235297,168.2196158455393,171.0030845539281,170.1707265867732,169.2359347391787,167.9363874833555,166.60843218645948,165.73884842432312,164.37095316315202,163.26354539400666,161.6550066577896,160.5496085219707,158.67183888149137,157.73093774966713,156.5078828229028,154.86834520639147,153.36603029294275,152.1419304029304
16,136.25380316373125,136.43045923026745,136.85898189528626,127.85344602087412,130.78957347904094,148.8709091502202,171.89065851272017,175.55082384602838,174.51469259621655,173.43904076973254,172.2325275603392,171.02198662752772,169.7764794520548,168.55775501549502,167.02059696623718,165.67664658547193,164.44228788867147,163.19241452805565,161.56312089584694,160.16830854533595,158.662443139813,157.23743139813004,155.6041493803001
17,131.35487563172933,131.94643211775045,132.52074203471764,122.72337952998024,126.33004239894552,143.40506943528894,168.1075285588752,170.68451549110083,169.61445398638259,168.92279499011207,167.64100527240774,166.14556053614587,165.58119793497363,163.5597279718743,162.23024302351132,161.6898978246539,159.3536783124588,157.94160658978583,157.60663810151615,155.38872454695223,153.43094528675016,152.96179446640315,150.778367501648
18,131.69233078838175,132.1191422642762,132.66016713692946,124.13752647302904,126.86576879668048,144.3208427954847,165.73390439834023,168.40049369189907,167.3900894605809,166.34874838174275,165.531849626556,164.16516132780083,163.12062655601662,161.77164331950206,160.8028361825726,159.4481367861886,157.99978822748395,157.1988871431733,155.54309141212923,154.38500199159105,153.2086910137229,151.63524103585658,149.94528906595838
19,130.56103336318856,130.11256391314083,130.99421289456012,122.57888359077678,124.89080721003134,141.86400246250284,163.38922095366019,167.85754667562122,166.91909426780117,165.76859503022163,164.3969415715245,163.53857712111036,162.21957366771161,161.09626309896998,159.1171907320349,158.0701346541303,157.12963465413029,155.35552468928452,154.15797246474145,153.4571524513096,151.36691437206179,149.2007071860309,148.11001746724892
20,134.68864767073723,134.6112960199005,135.28863192403347,126.86789280868385,129.48305178652194,147.46448213478064,170.70470985979193,173.5948105358354,172.63674920850295,171.46875915875168,170.68706194890345,169.68841090004526,168.25298982360923,166.90429323988246,165.52391725073483,163.78715841248305,162.97347591587516,161.57324762550886,160.22244131614656,158.78759328358208,157.0444052221092,155.5001010854817,153.97013602442334
21,128.64877214631997,128.6935717118308,128.9607933465521,120.64394577914922,122.90136219431594,141.476747465844,164.51592507712647,170.15360894470146,169.11734773027766,167.57456821688342,166.48766798854376,165.0553844459132,163.8259671661525,162.41065168539322,160.91567415730339,159.70654993386245,157.77108195637805,156.85995736946464,155.30303966942148,153.83486715135493,151.85351685393258,150.0338667768595,148.37294479338846
22,133.92013745356303,134.1345910472973,134.60021850726108,126.00160543643423,128.65503850700895,145.61866638527775,167.7240202634245,170.67792550675676,169.6360018574806,168.59063734593957,167.526561898328,166.30961188988346,165.0098282964714,163.94786406619386,162.55572128378378,161.308253321324,160.034167904569,158.62861742850708,157.40045495495494,156.14275168842863,154.59426294461954,153.16314346846846,151.7647543346093
