node,Green LED,Yellow LED,Red LED,Idle,TRX_OFF,PLL_ON,RX_ON,TX TX_PWR 0,TX TX_PWR 1,TX TX_PWR 2,TX TX_PWR 3,TX TX_PWR 4,TX TX_PWR 5,TX TX_PWR 6,TX TX_PWR 7,TX TX_PWR 8,TX TX_PWR 9,TX TX_PWR 10,TX TX_PWR 11,TX TX_PWR 12,TX TX_PWR 13,TX TX_PWR 14,TX TX_PWR 15
71,127.71397660818712,128.22041658066735,128.60854764361883,120.65290125580596,123.32328780319973,140.63957223942208,162.30807997936017,165.57383158437983,164.60245476436188,163.40386805436094,162.43028310973511,161.1930386996904,159.88645596835224,158.4955004299226,157.19138648090814,155.9215076817244,154.66009860123822,153.6366903669725,152.34558908507222,150.96043932094517,149.67193717037375,147.45186766055045,146.10523371559634
73,131.05719876088412,131.19316306713543,131.64411282222966,123.47613563295378,126.12277368597255,143.7990400133936,166.12336219022106,171.2900894023104,170.18137652770804,169.00240154052244,167.81036642115834,166.51991260673026,165.2160509042197,163.87343964506948,162.41220472045532,161.11723398079928,159.6195173029694,158.09233764784642,156.63292185755748,155.01786313909355,153.44975117161346,151.75761419959812,150.18284103594553
75,133.723690853347,133.91705058763415,134.37925715258856,125.55660960654063,128.4129351047522,146.06571282575374,169.0737242377789,171.88727967978198,170.8183420200988,169.70624016351556,168.63292166212534,167.3846370294669,166.33891517629024,165.06950843127237,163.84758746380516,162.7600070390554,161.33865250965252,160.0649609445958,158.8302271178742,157.21911217075385,155.62699977288213,154.16657256416082,152.81475834658187
76,133.2063899371069,133.42515259847733,133.382847898047,124.59424127089194,127.63735832505793,144.93860112545514,166.9345519695465,169.94588681118648,169.00832737504138,167.99927292287322,166.8602092022509,165.81009266920407,164.50844381929505,163.4411620324396,162.19400777888114,161.13273300970877,159.63202030008827,157.92363989408648,156.7362131979695,155.64034752868488,153.995543027361,152.71966813768756,151.2600450132392
77,132.41411221449852,132.97511320754714,133.5229006951341,124.43809399304979,127.40204071499502,144.86377805362463,167.83689076464745,172.31227602184342,171.21438546838797,169.65872178086724,168.36600049652432,168.12097286116168,166.25595813337745,164.81173369745116,163.15866103939092,162.31735194174757,160.92941747572817,159.34703817299203,158.12602317369232,156.64602603706973,154.52630538393643,153.70569593998235,152.28085503089144
78,129.68736779631863,130.08967922256622,130.51094993979012,122.16979442628592,124.67459253525972,142.72011504729147,164.43210937231296,168.16339714482285,166.84233264533884,165.87181283330466,164.6531663512816,163.52330976952186,162.1697207982109,161.14012179597452,160.078414000688,158.60506214171065,157.51288603531302,155.95617839944967,154.57451112130246,153.1218637614679,151.74772958715596,150.10930137614682,148.6812020642202
80,120.12309704732958,120.03166471226926,189.8459207383279,120.0072345276873,189.80500868432478,120.0342210640608,127.66819457111833,127.87312573289903,128.21908034744845,119.97863504125056,119.96575852334422,122.62886362649294,140.12586167209554,161.25254679695982,166.68428354320451,165.67336257056016,164.55367643865364,163.44174809989138,162.11316243213898,160.8838805905341,159.56116000868434,158.29436445916113,156.80010358306188
81,130.78290453038673,131.40392287292818,132.9747739226519,123.3572267403315,125.76165812154697,144.64903955801105,165.99786453038675,168.7391217679558,168.11938696132597,168.68458872928176,166.69257370165744,164.51908130799822,163.81792928176793,162.95044000000001,161.99621944751382,160.05945939675172,157.83752104739807,156.88219423268146,157.24334681697613,154.7550324933687,152.2602833941001,149.91390851839574,149.7708120649652
82,131.03709450369152,130.96828006562754,131.39076394356954,123.23960843175854,125.93827641076113,142.59117355643045,163.3861817883511,167.29269553805776,166.46033727034123,165.23974799015588,164.2941978346457,163.32173277559056,161.93960721903198,160.83684301181103,159.3163997703412,157.94107392825896,156.50111376066505,155.36097834645668,154.56914435695538,152.52853861299496,150.93697528433947,149.48497987751531,148.14202844016629
83,125.20743230718304,125.44516683217478,125.88453608076794,117.85758315406255,120.43827987421383,136.87816137040716,158.9691155246607,164.6859761707761,163.3033613042039,162.20676017874874,160.96656537570342,159.6240438523912,158.21989806387558,156.9925868917577,155.5264750082754,154.25369616063549,152.49029876434244,151.19027228596647,149.67908806003092,147.97563967343336,146.133172109444,144.36758142100618,143.13828949691086
