node,Green LED,Yellow LED,Red LED,Idle,TRX_OFF,PLL_ON,RX_ON,TX TX_PWR 0,TX TX_PWR 1,TX TX_PWR 2,TX TX_PWR 3,TX TX_PWR 4,TX TX_PWR 5,TX TX_PWR 6,TX TX_PWR 7,TX TX_PWR 8,TX TX_PWR 9,TX TX_PWR 10,TX TX_PWR 11,TX TX_PWR 12,TX TX_PWR 13,TX TX_PWR 14,TX TX_PWR 15
37,129.50518069306932,130.96060561056106,131.48726402640264,122.37916254125413,124.75712574257426,143.30140297029703,166.7083074257426,172.13389488448846,170.5451574257426,169.41306419141912,168.4401871287129,168.3582602310231,166.34193103448274,164.21469554455444,161.94969257425743,161.07587304730473,159.46203630363038,159.13722750275028,156.83073927392738,154.55082464246428,152.13283212321232,151.01906842684267,148.53465786578656
38,123.15243904086456,124.75122969093057,124.75628520770009,117.72577727119217,119.19423171761527,135.83610167201488,158.13255471124617,163.92491759540695,163.13790526849033,161.5285254981425,159.83806568726783,158.15812970781963,156.42080256713396,154.90022087132724,155.40749915569066,154.08545372663815,152.67529040972533,150.80010220621344,148.88564084665617,146.96154379644224,144.88953276289124,145.44881197928393,144.44885093447422
39,131.1792839609953,131.7838481331988,132.44863124264336,123.80847478143914,126.17815335463258,143.16497932078008,166.0118355196771,172.30092130485954,171.25072225958309,170.9154466868483,169.48746772024208,167.48440248823135,166.00138681466532,165.06087104909216,163.4983217888366,162.01101210762332,160.73526204886795,158.4826953597848,157.1474600896861,155.6123429724277,153.26440022421525,151.553065470852,149.87628558619144
40,132.0957411804613,132.24046981004074,132.68804324232661,123.330473541384,126.38843724559021,144.75035295115333,165.29586244911806,169.8369609971172,168.82867588195384,167.95352221845317,166.73088570459558,165.33355384093608,164.27314637042062,163.25414041037814,162.09024961845006,160.19560244233378,159.16737336047038,157.36374112593265,156.32958864767073,155.33691791044777,153.32064752430477,152.29217299864317,150.2930682948892
41,130.44385794583548,130.2366624084483,130.0409938692098,121.12505961505705,124.58362272185316,142.91993783001192,165.69816777380345,166.6672512348833,165.29602282405043,163.8651086697326,162.43616927792917,161.36748748083804,160.61064384261624,159.67051422244936,159.6675907000511,158.23341734786558,156.6309797865092,154.97577452316077,153.3494074494663,151.69313169845594,150.30731410402,149.36786077674313,149.9277821939587
42,133.70777344273276,133.61237491627594,133.94993587811817,124.95151649087559,128.35391661085063,145.38231106646577,167.4240674815807,172.43778737652775,170.80563251297505,170.56098459735477,168.90007148836432,167.21638027461486,166.8365003348962,165.08608271935702,163.23262615101288,162.21960080375084,160.72149575892854,158.78236093750002,157.8095804867158,156.31371958026344,154.3806496985934,153.10977879464286,151.46767894619333
43,128.00257031895555,128.7496313615334,128.81139844653777,120.06811120290813,123.00608740912097,141.2835541232854,161.42958294778583,166.35687671459266,166.04311898859694,164.45130771773262,163.46198991902168,162.57921153528343,160.8938140803173,160.17147083126756,158.48910791604692,157.04265080414186,155.6036782723667,154.39278034809428,152.98827677390923,151.55007270323858,149.96825077126488,148.40044194756555,146.75724900837375
44,129.19002808894834,129.80953034609595,130.16262347433542,121.57149757565624,124.92785172183216,141.536661150117,164.08768421932464,167.30396522902038,165.81542661317283,164.3149401537947,164.44287796723506,162.9270075225677,161.32678686058173,159.7059540210667,158.62297124226717,157.57271348940915,155.8364147157191,154.0813128205128,153.37079246544806,152.5668682567989,150.63875167186805,148.76023718234507,147.67842086491302
45,129.44050325596928,129.05520317195325,128.4574429978301,120.77901135225378,123.59972320534223,140.66737034563366,162.48542287145244,166.79383355592657,165.26407210816225,164.35641846102487,162.76060043412923,162.4692631051753,161.82991601268992,160.10978347245407,158.31741028208978,157.21663743601155,155.42717070999333,154.9019759626085,153.6386711932324,151.6935319385711,149.7188918317383,148.6139884264411,146.63387180057867
46,130.69039704675964,130.4909558654635,130.13490846456693,122.93550164041994,124.79243996062992,143.45319488188977,165.10634487284662,168.96811909448817,167.54030462598425,166.92122346185397,166.2950337926509,164.71374983595803,163.15326628383923,162.36607939632546,161.58047752624674,159.52827099737533,157.81220148763947,155.9274728783902,154.39221850393702,154.23901684532925,152.2519995625547,150.17752624671917,148.2668518923649
47,128.3733420746888,128.41616168658697,129.0857536929461,121.08055186721991,123.5155865560166,141.141859063745,161.0479462240664,164.74677274236387,164.04726871369297,162.91986987551869,161.3109956846473,160.97132165975103,159.2870446473029,159.03792746887964,157.26767435684647,156.1033118636565,154.98445142730694,153.14219008630226,152.60935258964142,150.87013144500995,149.07833930942897,148.18201040283313,146.52167042939354
48,126.14417443431272,126.76591641337384,126.60323188650565,117.92662259371833,120.52824535629854,139.5920332657886,162.8699231678487,166.28822914555894,164.73653461668354,163.1783801080716,162.32176781492737,160.6312904424181,159.87259929078016,160.01587926376226,158.14630665315772,156.15790159873902,154.2789146780729,153.67571701936066,151.7729900900901,149.8530261143629,148.20965015758665,146.94682409909913,146.08326046825758
